,Distributor,No_of_movies,Total_Gross,Year
0,Buena Vista,21,1175.6,2000
1,Universal,13,1069.1,2000
2,Warner Bros.,22,905.3,2000
3,Paramount,12,791.1,2000
4,DreamWorks SKG,10,777.2,2000
5,20th Century Fox,13,723.3,2000
6,Sony / Columbia,29,681.5,2000
7,New Line,14,374.5,2000
8,Miramax,23,365.3,2000
9,Dimension Films,2,110.9,2000
10,MGM/UA,7,105.9,2000
11,USA Films,14,89.7,2000
12,Artisan,8,73.3,2000
13,IMAX,2,63.7,2000
14,Destination,5,55.3,2000
15,Sony Classics,13,47.2,2000
16,Lionsgate,18,33.1,2000
17,Fine Line,10,22.1,2000
18,Fox Searchlight,6,19.4,2000
19,Focus Features,2,17.1,2000
20,Paramount Classics,6,16.4,2000
21,MacGillivray Freeman Films,0,13.0,2000
22,TSG,2,6.7,2000
23,Trimark,3,5.4,2000
24,Eros,19,3.5,2000
25,N Wave,0,3.2,2000
26,Zion,1,2.6,2000
27,Cowboy,4,1.8,2000
28,Yash Raj,2,1.7,2000
29,First Look,2,1.3,2000
30,Equinox,1,1.2,2000
31,Rainforest,1,1.2,2000
32,Kino,4,1.1,2000
33,Empire,2,1.1,2000
34,Indican,4,1.1,2000
35,Iron,1,1.1,2000
36,Video Sound,2,0.962,2000
37,Zeitgeist,1,0.927,2000
38,Hombre,1,0.886,2000
39,Odeon,2,0.823,2000
40,Lot 47,3,0.705,2000
41,New Yorker,6,0.691,2000
42,Providence,2,0.62,2000
43,New Latin,2,0.535,2000
44,Winstar,3,0.521,2000
45,Artistic License,3,0.488,2000
46,Rialto,1,0.46,2000
47,Strand,5,0.426,2000
48,7th Art,3,0.421,2000
49,Little Villa,1,0.392,2000
50,Cinema Libre,1,0.377,2000
51,First Run,2,0.37,2000
52,North by Northwest,0,0.367,2000
53,Cho,1,0.364,2000
54,IDP,2,0.358,2000
55,Wellspring,1,0.338,2000
56,Unapix Ent.,2,0.318,2000
57,Palm,1,0.31,2000
58,Castle Hill,2,0.284,2000
59,Stratosphere,1,0.278,2000
60,Phaedra,3,0.242,2000
61,Shooting Gallery,4,0.21,2000
62,Vid.,1,0.204,2000
63,Samuel Goldwyn,0,0.188,2000
64,Picture Me Rollin,1,0.171,2000
65,Independent Artists,1,0.17,2000
66,Alliance,1,0.16,2000
67,Manga,1,0.143,2000
68,IFC,1,0.117,2000
69,Seville,1,0.111,2000
70,Palisades Ent.,1,0.0752,2000
71,Silver Nitrate,2,0.0535,2000
72,Roxie,1,0.0423,2000
73,CanWest Films,1,0.038200000000000005,2000
74,Regent Releasing,2,0.026699999999999998,2000
75,Arrow Releasing,1,0.0182,2000
76,Keystone,1,0.0078,2000
77,Film Acres,1,0.0073,2000
78,Redeemable,1,0.0058,2000
79,Unknown,1,0.0043,2000
80,Venice Film Merchants,1,0.0039,2000
81,Hollywood Classics,1,0.0027,2000
